id,name,brand,product_type,price,quantity,description,battery_life,features,connectivity,movement_type,power_reserve,water_resistant
1,Seiko Prime 251 Line,Seiko,electronic,2523300,13,Mẫu Seiko Prime 251 Line của Seiko - thiết kế hiện đại.,7.0,gps;step_counter;waterproof;heart_rate;music_control,bluetooth,,,
2,Invicta Voyager 28 Z,Invicta,mechanical,3383146,83,Mẫu Invicta Voyager 28 Z của Invicta - thiết kế cổ điển.,,,,manual,40.0,0.0
3,Seiko Master 715 X,Seiko,electronic,5433632,19,Mẫu Seiko Master 715 X của Seiko - thiết kế hiện đại.,2.0,gps;heart_rate;waterproof,bluetooth,,,
4,Swatch Voyager 271 Edition,Swatch,mechanical,11081111,68,Mẫu Swatch Voyager 271 Edition của Swatch - thiết kế cổ điển.,,,,automatic,48.0,1.0
5,Citizen Eco-Drive Urban 592 Line,Citizen Eco-Drive,electronic,10716292,5,Mẫu Citizen Eco-Drive Urban 592 Line của Citizen Eco-Drive - thiết kế hiện đại.,7.0,step_counter;heart_rate,wifi,,,
6,Hublot Prime 465 Lite,Hublot,electronic,2858484,45,Mẫu Hublot Prime 465 Lite của Hublot - thiết kế hiện đại.,2.0,gps;step_counter;sleep_tracking,wifi,,,
7,Timex Master 474 X,Timex,electronic,4414243,81,Mẫu Timex Master 474 X của Timex - thiết kế hiện đại.,7.0,waterproof;sleep_tracking;nfc;heart_rate;gps,bluetooth,,,
8,Hublot Prime 68 Line,Hublot,electronic,13740474,72,Mẫu Hublot Prime 68 Line của Hublot - thiết kế hiện đại.,7.0,waterproof;sleep_tracking;notifications,gps,,,
9,Longines Master 272 Model,Longines,electronic,4076099,71,Mẫu Longines Master 272 Model của Longines - thiết kế hiện đại.,5.0,music_control;step_counter;waterproof,none,,,
10,Tissot Pilot 506 Series,Tissot,mechanical,11458841,14,Mẫu Tissot Pilot 506 Series của Tissot - thiết kế cổ điển.,,,,automatic,72.0,1.0
